cpf,matricula,sobrenome,nome,email,data_de_ingresso
034.861.732-52, 201364483, Earl, Scott, scott.earl@jujubinha.com.br, Wed Jan 30 15:15:46 2013
202.990.307-14, 201090463, Hickam, Lori, lori.hickam@jujubinha.com.br, Thu Jun 24 01:50:49 2010
960.217.720-24, 201446374, Robinson, Stephanie, stephanie.robinson@jujubinha.com.br, Sun May 18 21:50:37 2014
877.127.281-92, 201505758, Hamilton, Vernita, vernita.hamilton@jujubinha.com.br, Sat Sep 12 05:19:07 2015
726.534.326-39, 201374021, Kinsman, Diane, diane.kinsman@jujubinha.com.br, Sun Jan  6 06:49:03 2013
959.383.730-97, 201681880, Oliver, David, david.oliver@jujubinha.com.br, Thu Feb 11 17:36:33 2016
807.867.027-61, 201306643, Chase, James, james.chase@jujubinha.com.br, Wed Jul  3 13:44:47 2013
800.313.564-87, 201180015, Loomis, Gina, gina.loomis@jujubinha.com.br, Mon Apr 18 12:41:27 2011
092.935.598-32, 201156282, Crooms, Clifford, clifford.crooms@jujubinha.com.br, Fri Feb 25 14:42:12 2011
271.392.486-68, 201332228, Winchell, John, john.winchell@jujubinha.com.br, Fri May 31 11:50:26 2013
319.476.619-86, 201454319, Prestwich, Calvin, calvin.prestwich@jujubinha.com.br, Thu Mar 27 14:47:07 2014
280.097.978-88, 201049206, Yeomans, Stephen, stephen.yeomans@jujubinha.com.br, Fri Apr  9 03:57:49 2010
116.739.357-57, 201303466, Wofford, Cindy, cindy.wofford@jujubinha.com.br, Thu May 23 08:53:07 2013
599.214.629-69, 201107882, Totten, Roy, roy.totten@jujubinha.com.br, Sat Feb 12 07:21:30 2011
382.357.563-84, 201166181, Lam, Norma, norma.lam@jujubinha.com.br, Sat Apr 16 17:50:31 2011
032.528.660-04, 201452768, Grubbs, Linda, linda.grubbs@jujubinha.com.br, Tue Dec  2 16:28:40 2014
698.744.635-87, 200811965, Mattas, Anne, anne.mattas@jujubinha.com.br, Fri Nov 28 19:11:49 2008
511.426.826-42, 201056337, Grant, Dee, dee.grant@jujubinha.com.br, Sun Apr  4 19:20:24 2010
296.142.520-75, 201241316, Smith, Carlos, carlos.smith@jujubinha.com.br, Fri Sep 14 19:15:28 2012
927.227.845-50, 200837626, Lang, Della, della.lang@jujubinha.com.br, Tue Mar 18 15:18:32 2008
127.851.284-26, 201391766, Mccord, Rebecca, rebecca.mccord@jujubinha.com.br, Fri Oct 18 01:35:29 2013
412.464.094-84, 201783880, Spinney, Lillian, lillian.spinney@jujubinha.com.br, Tue Jul 11 05:24:55 2017
695.112.965-04, 201746337, Branton, Susanne, susanne.branton@jujubinha.com.br, Mon Jul  3 00:20:57 2017
488.551.707-55, 201245611, Mcentyre, Miriam, miriam.mcentyre@jujubinha.com.br, Fri Aug 31 22:03:23 2012
740.362.023-94, 201609929, Barber, Treva, treva.barber@jujubinha.com.br, Fri Jul 29 07:01:39 2016
112.427.373-22, 201263649, Harley, Donna, donna.harley@jujubinha.com.br, Fri Feb 10 08:58:55 2012
345.829.979-91, 201336478, Herrera, Penny, penny.herrera@jujubinha.com.br, Thu Sep  5 10:36:52 2013
461.477.082-41, 200984742, Bowden, Susan, susan.bowden@jujubinha.com.br, Mon Dec 21 22:12:00 2009
854.130.629-24, 201099858, Phelps, Edward, edward.phelps@jujubinha.com.br, Mon Aug  9 05:57:46 2010
930.609.053-11, 201663895, Eichenlaub, Rochelle, rochelle.eichenlaub@jujubinha.com.br, Fri Apr 29 16:32:27 2016
524.974.192-94, 201403791, Wallace, Willard, willard.wallace@jujubinha.com.br, Sun Jul 13 23:16:25 2014
838.891.123-44, 201449547, Ohanlon, Erin, erin.ohanlon@jujubinha.com.br, Tue Apr 15 06:33:54 2014
387.865.893-93, 201006493, Williams, Sandra, sandra.williams@jujubinha.com.br, Wed Nov  3 23:17:01 2010
791.730.478-61, 201022402, Valdez, Reba, reba.valdez@jujubinha.com.br, Fri Mar  5 03:46:14 2010
577.300.735-64, 201238814, Goodrich, Jonathan, jonathan.goodrich@jujubinha.com.br, Fri Jan  6 23:24:04 2012
865.256.138-42, 201688065, Martinez, Yolanda, yolanda.martinez@jujubinha.com.br, Sun Jun 26 19:00:41 2016
028.970.521-49, 201140938, Jordan, Theron, theron.jordan@jujubinha.com.br, Sun Apr 10 22:40:25 2011
620.716.060-06, 201726489, Chilton, Ian, ian.chilton@jujubinha.com.br, Sat Jun 10 16:25:40 2017
613.411.871-45, 201317369, Williams, Marcie, marcie.williams@jujubinha.com.br, Sun Jun  9 02:06:27 2013
627.348.284-68, 200932038, Ashford, James, james.ashford@jujubinha.com.br, Tue Dec 15 08:05:31 2009
439.574.708-75, 201280560, Rivera, Sherry, sherry.rivera@jujubinha.com.br, Sun May 13 10:46:52 2012
971.758.707-45, 200808242, Villasenor, Kelly, kelly.villasenor@jujubinha.com.br, Mon Sep 22 00:50:04 2008
720.438.584-93, 201789719, Stefanski, Veronica, veronica.stefanski@jujubinha.com.br, Sat Jan 14 04:11:59 2017
791.545.803-12, 201751146, Bilger, Charlene, charlene.bilger@jujubinha.com.br, Mon Mar 13 17:39:38 2017
036.005.721-72, 201639819, Loreto, Chantel, chantel.loreto@jujubinha.com.br, Tue Sep  6 06:04:09 2016
630.191.681-60, 201164213, Malson, Bryan, bryan.malson@jujubinha.com.br, Sat Jan  8 13:43:31 2011
563.655.709-39, 200962656, Crenshaw, Annie, annie.crenshaw@jujubinha.com.br, Sun Sep 13 03:52:57 2009
393.600.056-56, 201627111, Seigel, Carol, carol.seigel@jujubinha.com.br, Mon Apr 25 05:11:54 2016
731.091.823-25, 201081926, Dowling, Edward, edward.dowling@jujubinha.com.br, Tue Dec 28 11:12:50 2010
247.326.202-62, 201683720, Mills, Joseph, joseph.mills@jujubinha.com.br, Sun Sep 18 22:51:17 2016
816.776.223-48, 201084991, York, Arthur, arthur.york@jujubinha.com.br, Wed Sep  8 02:38:23 2010
740.555.759-51, 201212299, Wilson, Michael, michael.wilson@jujubinha.com.br, Sun Jun 24 19:31:23 2012
384.457.842-63, 201527930, Monjaras, Thomas, thomas.monjaras@jujubinha.com.br, Sat Aug 22 12:30:25 2015
596.596.201-40, 201206384, Barton, Frances, frances.barton@jujubinha.com.br, Tue Apr 24 15:13:04 2012
649.575.637-27, 201124321, Johnson, Daniel, daniel.johnson@jujubinha.com.br, Wed Jun 29 14:16:33 2011
